Column1;Column2
;
;
12h à 14h;12 tot 14 uur
14h à 16h;14 tot 16 uur
16h à 18h;16 tot 18 uur
18h à 20h;18 tot 20 uur
7h à 9h;7 tot 9 uur
9h à 12h;9 tot 12 uur
À traiter;
Abattage d’arbre;
Accès à la profession;Toegang tot het beroep
Accompagnement;Begeleiding
Achats groupés;
Acoustique;Acoustic
Activité et entreprises;
Adoucisseur;Softlyness
Adresse;Adres
Adresse complète;Adres
Adresse du bien;Adres
Adresse du siège social;Adres
Adresse FR;Adres FR
Adresse NL;Adres NL
Afin d’améliorer notre service, nous réalisons une enquête de satisfaction auprès des personnes qui ont fait appel à nos services. Nous vous remercions d’avance pour votre temps, vos réponses sont essentielles et précieuses pour notre évaluation.;Om onze dienstverlening te verbeteren, voeren we een tevredenheidsenquête uit bij de mensen die van onze diensteverlening hebben genoten. We danken u bij voorbaat voor uw tijd, uw reacties zijn essentieel en waardevol voor de evaluatie van ons werk.
Agencement des greniers;
Agréé;
Agrément amiante;
Aides à l’achat;
Aides financières;
Aides juridiques;
Aides locatives;
Allocation loyer;
Allocation loyer hors délais;
Animal;
Appartements;
Ardoises artificielles;Kunstleien
Ardoises naturelles;Natuurleien
Argile;
ASBL;
Ascenseur;
Aspect à rue;
Assainissement;
Assurances litiges;
Autre;Andere
Autre acoustique;
Autre aides financières;
Autre bâtiment durable;
Autre éléments de façades;
Autre énergie;
Autre logement;
Autre objet du permis;
Autre patrimoine;
Autre petit patrimoine;
Autre raison du permis;
Autre rénovation;
Autres;Anderen
Balcon;
Bardage autre que bois;
Bardage bois;
Bâtiment durable;
Be-exemplary;
Bien classé;
Bio électricité;
Biodiversité;
Blocs type « multipor »;
Boîte;
Briques de parement;
Briquettes;
BuildCircular;
Cadre légal;
Carrelage;
Catégorie de revenus du demandeur;
Ce champ est obligatoire pour valider le formulaire;
Cellulose;
Certaines réponses sont manquantes.;Sommige antwoorden ontbreken.
Certificat;
Certificats verts;
Chanvre;
Charger des fichiers;Bestanden uploaden
Charger les fichiers;
Chassis;
Chauffage;
Chauffage par le sol / les murs;
Chauffage, chaudière et distribution de chaleur;
Chauffe-eau solaire;
Chaux;
Chaux-chanvre;Kalkhennep
Citerne d’eau de pluie;
Citydev;
CLT;
Code civil;
Code postal;Postcode
Commentaires;
Commission de conciliation de la confédération des entreprises;
Connaissance;
Conseils pour mettre fin à l’occupation;
Construction;
Contact;
Contenu;
Coordonnées de l’entreprise;Bedrijfsgegevens
Copropriété (immeuble à appartements);
Copropriétés;
Corniche;
Coton / textile;Katoen/ textiel
Coton/ Textile recyclé;
Couverture/Etanchéité;
Création;
Crédal;
Crépi / enduit;
Date d'introduction;
Date de création de l’entreprise;Oprichtingsdatum van de onderneming
Date d’envoi dossier PVB à BE;
DE;
Début d’après-midi;
Décor peint;
Décors intérieurs;
Demande communale;
Demandes;
Démolition;
Dénomination, sociale ou commerciale, de l’entreprise;Maatschappelijke naam of handelsnaam van de onderneming
Dépôt de documents;
Dépôt de fichiers;
Dernière modification;
Descriptif;
Dimensions écologiques;
